trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
51,False,"{'a': 0.7, 'e': 0.024620007586323434}",20,9,18.096888705410013,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.7, 'e': 0.021002602828976924}",25,11,26.39821096074718,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.7, 'e': 0.017910423127233788}",20,12,13.964017057227291,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.7, 'e': 0.015269531876263898}",20,3,-1.3528860036860708,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 0}",1
55,False,"{'a': 0.7, 'e': 0.01301575878827621}",20,5,19.952098333026633,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.7, 'e': 0.011093589971659767}",35,18,29.715252460147116,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.7, 'e': 0.009455131363287794}",30,21,16.934623911016615,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.7, 'e': 0.008059158228225671}",35,25,20.584391689601073,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.7, 'e': 0.0068702557609920945}",20,12,14.964578821914497,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.7, 'e': 0.005858050596155628}",25,10,21.68449255128217,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.7, 'e': 0.0049965296435110496}",20,13,13.42088243015571,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.7, 'e': 0.004263440608329061}",30,15,28.005813568944713,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.7, 'e': 0.003639767454409748}",35,13,35.89797386285269,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.7, 'e': 0.0031092736239395347}",25,15,17.847934536744837,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.7, 'e': 0.0026581058254926404}",30,3,49.88000304570191,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.7, 'e': 0.0022744514810859595}",25,13,21.018676159039913,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.7, 'e': 0.0019482433714412828}",20,11,18.564990521027745,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.7, 'e': 0.0016709055560870656}",20,16,7.914615397242609,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.7, 'e': 0.0014351352175483445}",20,16,8.86171348836779,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.7, 'e': 0.0012347156508361046}",25,7,31.542830559325463,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.7, 'e': 0.0010643561682261993}",20,10,16.993659525248066,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.7, 'e': 0.0009195552016101338}",20,0,33.361569242972436,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
73,False,"{'a': 0.7, 'e': 0.0007964833536122651}",25,17,16.682585643876678,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.7, 'e': 0.0006918835716664962}",20,13,12.515724119128873,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.7, 'e': 0.0006029859965208662}",30,18,24.1012555285356,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.7, 'e': 0.0005274353702495738}",20,9,21.990335133706836,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.7, 'e': 0.0004632291817476819}",25,17,10.962337141805648,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.7, 'e': 0.0004086649834547096}",25,11,25.194935992548782,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.7, 'e': 0.00036229553533773107}",20,7,-44.203162935493424,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 1}",1
80,False,"{'a': 0.7, 'e': 0.0003228906246734997}",30,23,13.407053400302493,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.7, 'e': 0.00028940457635284744}",20,0,28.07967986981135,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.7, 'e': 0.0002609486115345838}",20,2,29.00336184196464,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.7, 'e': 0.00023676733544863993}",30,8,41.65024596429332,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.7, 'e': 0.00021621874063315616}",20,6,29.0457637219558,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.7, 'e': 0.00019875720223683224}",25,12,1.2478875931469406,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
86,False,"{'a': 0.7, 'e': 0.00018391901931158472}",25,12,25.579077255907062,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.7, 'e': 0.00017131012207505236}",20,9,9.780665255794824,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.7, 'e': 0.00016059562151160556}",25,16,19.614989995638794,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.7, 'e': 0.00015149092581268064}",20,10,13.566207496892025,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.7, 'e': 0.0001437541891728955}",20,14,10.5564070330328,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
